"","CONDITION","AGERANGE","SYNDROME","k"
"1","Adenovirus","24-59mo","01CommunityDetected",0
"2","Astrovirus","24-59mo","01CommunityDetected",0
"3","Campylobacter","24-59mo","01CommunityDetected",0
"4","Cryptosporidium","24-59mo","01CommunityDetected",0
"5","Cyclospora","24-59mo","01CommunityDetected",0
"6","EAEC","24-59mo","01CommunityDetected",1
"7","Entamoeba","24-59mo","01CommunityDetected",0
"8","EPAP","24-59mo","01CommunityDetected",1
"9","EPTP","24-59mo","01CommunityDetected",1
"10","ETLT","24-59mo","01CommunityDetected",1
"11","ETST","24-59mo","01CommunityDetected",1
"12","Giardia","24-59mo","01CommunityDetected",0
"13","Norovirus","24-59mo","01CommunityDetected",1
"14","Rotavirus","24-59mo","01CommunityDetected",0
"15","Salmonella","24-59mo","01CommunityDetected",0
"16","Sapovirus","24-59mo","01CommunityDetected",1
"17","Shigella","24-59mo","01CommunityDetected",0
"18","STEC","24-59mo","01CommunityDetected",1
"19","Vibrio","24-59mo","01CommunityDetected",0
