"","CONDITION","SYNDROME","AGERANGE","prev_pop1","prev_pop2","prev_pop3","prev_pop4"
"1","Adenovirus","00Asymptomatic","0-11mo",0.055735038284479,0.0769846321388667,0.0734955702311028,0.0786204903038819
"2","Adenovirus","00Asymptomatic","12-23mo",0.0526666423994353,0.0726940190543598,0.0693918083908048,0.0741577290661695
"3","Adenovirus","00Asymptomatic","24-59mo",0.0379950728722597,0.052770682985807,0.0503440628267346,0.0539855248503514
"4","Adenovirus","00Asymptomatic","99MixedAges",0.0335964373448781,0.0510142565821528,0.0490897199079506,0.0572631103980082
"5","Adenovirus","01CommunityDetected","0-11mo",0.104667241832649,0.142336255395733,0.136401250325201,0.145908684385902
"6","Adenovirus","01CommunityDetected","12-23mo",0.0991879399367541,0.134935839818067,0.129275125646203,0.138199314630767
"7","Adenovirus","02Outpatient","0-11mo",0.090071430817056,0.123105025008969,0.117819636944122,0.125943109121659
"8","Adenovirus","02Outpatient","12-23mo",0.085283433877777,0.11656859117236,0.111538905718236,0.119141503332787
"9","Adenovirus","02Outpatient","24-59mo",0.062121495141576,0.085732223880221,0.0819406424431015,0.0878945797843785
"10","Adenovirus","02Outpatient","99MixedAges",0.0550897253415566,0.0829748039407068,0.0799653471489781,0.0930284156697313
"11","Adenovirus","03Inpatient","0-11mo",0.14407754365683,0.186292020377492,0.180191394102411,0.190234520677895
"12","Adenovirus","03Inpatient","12-23mo",0.136850468137646,0.177078085603847,0.171231113763034,0.180678555700815
"13","Adenovirus","03Inpatient","24-59mo",0.101233511647412,0.132638154034587,0.128076194918637,0.135780250305537
"14","Adenovirus","03Inpatient","99MixedAges",0.0902002918789166,0.128584269090484,0.125140335272505,0.143271700973214
"15","Adenovirus","04Unspecified","0-11mo",0.147238566939776,0.194396759045369,0.187736577709055,0.206851305474873
"16","Adenovirus","04Unspecified","12-23mo",0.139878843927717,0.18487304098358,0.178482786887277,0.196663356943357
"17","Adenovirus","04Unspecified","24-59mo",0.10356828840812,0.138806839117459,0.13379529668503,0.148512869384748
"18","Adenovirus","04Unspecified","99MixedAges",0.0923067406496969,0.134593673958697,0.130747997989771,0.156579541909733
"19","Astrovirus","00Asymptomatic","0-11mo",0.036283933859703,0.0369725498289505,0.0351525628040993,0.0301144939492412
"20","Astrovirus","00Asymptomatic","12-23mo",0.0380096532358033,0.0387227551736562,0.036843323513302,0.0315762888149952
"21","Astrovirus","00Asymptomatic","24-59mo",0.0305085923955072,0.031087290296489,0.029604406848662,0.0253620943111869
"22","Astrovirus","00Asymptomatic","99MixedAges",0.0221995880684314,0.022726323297622,0.0215118893641729,0.0185233714299323
"23","Astrovirus","01CommunityDetected","0-11mo",0.0798056196864945,0.0812085301870748,0.0773667039107344,0.0666274041776015
"24","Astrovirus","01CommunityDetected","12-23mo",0.0834221153042207,0.0848682363785428,0.0809175901891953,0.0697341478394682
"25","Astrovirus","02Outpatient","0-11mo",0.0452321030853927,0.0461179909794406,0.0439808513347317,0.0377696093825324
"26","Astrovirus","02Outpatient","12-23mo",0.0473624952247101,0.048279419023202,0.0460759556047666,0.0395878258973217
"27","Astrovirus","02Outpatient","24-59mo",0.0380887665124327,0.0388356738564984,0.0370928871795219,0.0318488179889829
"28","Astrovirus","02Outpatient","99MixedAges",0.0277744480117323,0.0284519635543362,0.0270103322563219,0.0233028121300147
"29","Astrovirus","03Inpatient","0-11mo",0.0598900782841949,0.0608711535614103,0.0586416381482381,0.0499465015044522
"30","Astrovirus","03Inpatient","12-23mo",0.0626655356538326,0.0636778649923154,0.0613902875777123,0.0523190367809708
"31","Astrovirus","03Inpatient","24-59mo",0.0505544341792986,0.0513847146562883,0.0495766752345596,0.0422005685246886
"32","Astrovirus","03Inpatient","99MixedAges",0.0369942770917584,0.0377775743431089,0.0362284592429444,0.0309657160445346
"33","Astrovirus","04Unspecified","99MixedAges",0.0427031358931713,0.0437711040321443,0.0436498738033606,0.0401792410622399
"34","Campylobacter","00Asymptomatic","0-11mo",0.0761941112502592,0.0985118252865361,0.0911946017078765,0.0915638835288871
"35","Campylobacter","00Asymptomatic","12-23mo",0.0956497804551125,0.122794844845258,0.113932565934796,0.114360028692922
"36","Campylobacter","00Asymptomatic","24-59mo",0.0729552065630537,0.0943437133971721,0.0873446858700428,0.0876667945208382
"37","Campylobacter","00Asymptomatic","99MixedAges",0.0603934107480378,0.081069094516679,0.0754442879695884,0.0779248798447369
"38","Campylobacter","01CommunityDetected","0-11mo",0.0917613673038501,0.118291240014853,0.109279449493259,0.109384281729122
"39","Campylobacter","01CommunityDetected","12-23mo",0.114698503434699,0.146656680095707,0.135852537773223,0.135953099874527
"40","Campylobacter","01CommunityDetected","99MixedAges",0.0729874734199756,0.0977259758535781,0.0907174678507959,0.0933636294212663
"41","Campylobacter","02Outpatient","0-11mo",0.0816502120438531,0.105478312936179,0.09801068432416,0.0986772490699161
"42","Campylobacter","02Outpatient","12-23mo",0.102344716243818,0.1312285864002,0.12221958025133,0.123004574356057
"43","Campylobacter","02Outpatient","24-59mo",0.0781990088562591,0.101048483129316,0.0939027494303717,0.0945089021431537
"44","Campylobacter","02Outpatient","99MixedAges",0.0647974187671122,0.086921013456623,0.0811883244702424,0.0840767310495984
"45","Campylobacter","03Inpatient","0-11mo",0.077519030553776,0.098792098204091,0.0919844489368568,0.0923380477716674
"46","Campylobacter","03Inpatient","12-23mo",0.0972773850395578,0.123134768010921,0.11489445197729,0.115302468982284
"47","Campylobacter","03Inpatient","24-59mo",0.0742283307883333,0.0946133723349428,0.0881044211229963,0.0884112159618166
"48","Campylobacter","03Inpatient","99MixedAges",0.0614618555481629,0.0813042173586218,0.076109144156165,0.078593704215612
"49","Campylobacter","04Unspecified","0-11mo",0.0665239137129919,0.0868815442270676,0.0797870901222471,0.0795993489681059
"50","Campylobacter","04Unspecified","12-23mo",0.0837341724222218,0.108643215919975,0.0999937178401893,0.0997438090947356
"51","Campylobacter","04Unspecified","24-59mo",0.0636677452665571,0.0831601247920893,0.0763782857457024,0.0761687908258704
"52","Campylobacter","04Unspecified","99MixedAges",0.0526143511229792,0.0713351457648832,0.0658641922151678,0.0676098976400931
"53","Cryptosporidium","00Asymptomatic","0-11mo",0.0381786166432148,0.0405097159268891,0.0348565042962188,0.084013587034662
"54","Cryptosporidium","00Asymptomatic","12-23mo",0.0513721567833922,0.0544352633250742,0.046969742480264,0.111527166867955
"55","Cryptosporidium","00Asymptomatic","24-59mo",0.0338921815317171,0.035954379393534,0.0309603408088314,0.0751336448548241
"56","Cryptosporidium","00Asymptomatic","99MixedAges",0.0184374993284017,0.0197611314376255,0.0162502024326657,0.0459554224521291
"57","Cryptosporidium","01CommunityDetected","0-11mo",0.0480079016666903,0.0509625415680569,0.0438058285631837,0.107808314115895
"58","Cryptosporidium","01CommunityDetected","12-23mo",0.0643708572630242,0.0682258311568376,0.0588395093358798,0.141907180617774
"59","Cryptosporidium","01CommunityDetected","99MixedAges",0.0233074915863294,0.0249996409464655,0.0205239897026469,0.0596733509686374
"60","Cryptosporidium","02Outpatient","0-11mo",0.0603518211043325,0.0639470049320938,0.0553055685106491,0.127994462049583
"61","Cryptosporidium","02Outpatient","12-23mo",0.0805660055155539,0.0852137797696247,0.0739804879163027,0.167280940775437
"62","Cryptosporidium","02Outpatient","24-59mo",0.0537149585597718,0.0569124617892984,0.0492402805423283,0.115049772056159
"63","Cryptosporidium","02Outpatient","99MixedAges",0.029497160576235,0.0315893436305319,0.026078560152403,0.0715696455898522
"64","Cryptosporidium","03Inpatient","0-11mo",0.0869267705506465,0.0914498210444835,0.0809617291886253,0.176347180250383
"65","Cryptosporidium","03Inpatient","12-23mo",0.114953030861608,0.120683918241224,0.107315779507731,0.22661800355411
"66","Cryptosporidium","03Inpatient","24-59mo",0.0776088470014462,0.0816537255201233,0.0722980968605725,0.159406287765824
"67","Cryptosporidium","03Inpatient","99MixedAges",0.0431090717856191,0.0458573064707781,0.03873225015592,0.101077434875228
"68","Cryptosporidium","04Unspecified","0-11mo",0.0724189030486277,0.0763971326327111,0.0629546218783704,0.144185228369167
"69","Cryptosporidium","04Unspecified","12-23mo",0.0962607755543031,0.101356093670046,0.0839827686955747,0.187373438275535
"70","Cryptosporidium","04Unspecified","24-59mo",0.0645461838416151,0.0680926326824724,0.0561002878666648,0.129846915154738
"71","Cryptosporidium","04Unspecified","99MixedAges",0.0356289098450954,0.0379953314257958,0.0298129297533659,0.0812882650515887
"72","Cyclospora","00Asymptomatic","0-11mo",0.00285349150994361,0.00238576790978909,0.0025754878273441,0.00458800992755752
"73","Cyclospora","00Asymptomatic","12-23mo",0.00556191800041952,0.00461169079947908,0.00497555601541832,0.00889400688325176
"74","Cyclospora","00Asymptomatic","24-59mo",0.00805624908134101,0.00669207167364227,0.00721906430560213,0.0130890404060337
"75","Cyclospora","00Asymptomatic","99MixedAges",0.00476473563923826,0.00368127124717154,0.00377862020672173,0.00793588211901288
"76","Cyclospora","01CommunityDetected","0-11mo",0.00426463236422117,0.00359341990462895,0.00382404827235273,0.00708378890695383
"77","Cyclospora","01CommunityDetected","12-23mo",0.0083013099104528,0.0069382465335591,0.00737902810786713,0.013699917650204
"78","Cyclospora","02Outpatient","0-11mo",0.00365658331947491,0.00301868479720654,0.00325785042523802,0.00549833183283881
"79","Cyclospora","02Outpatient","12-23mo",0.00712183000518418,0.00583166761799151,0.0062897947363617,0.01064955502371
"80","Cyclospora","02Outpatient","24-59mo",0.0103084767636925,0.00845771629040924,0.00912046941202268,0.0156595443320682
"81","Cyclospora","02Outpatient","99MixedAges",0.00610243953183447,0.00465626622174423,0.00477821964458464,0.00950412385737944
"82","Cyclospora","03Inpatient","0-11mo",0.0078372419660921,0.00701915238824397,0.00720830174912562,0.0119987475287563
"83","Cyclospora","03Inpatient","12-23mo",0.0152039300737961,0.0135094852731484,0.0138656210495972,0.0230985673456419
"84","Cyclospora","03Inpatient","24-59mo",0.0219270303837642,0.0195250179186852,0.0200369918130056,0.0337652093067436
"85","EAEC","00Asymptomatic","0-11mo",0.29254492882288,0.389071866735266,0.376226635635199,0.526619628753601
"86","EAEC","00Asymptomatic","12-23mo",0.247949208852531,0.336581495250502,0.324576686852871,0.469648047393715
"87","EAEC","00Asymptomatic","24-59mo",0.182437567291574,0.25578472184077,0.245581603183739,0.374929364696792
"88","EAEC","00Asymptomatic","99MixedAges",0.135327133893375,0.205375248414994,0.196133607142896,0.317512988371575
"89","EAEC","01CommunityDetected","0-11mo",0.291020772877449,0.388570684902138,0.3751905250552,0.527165073415145
"90","EAEC","01CommunityDetected","12-23mo",0.246576415215261,0.336110729217526,0.323609023953305,0.470193094752646
"91","EAEC","01CommunityDetected","24-59mo",0.181340025287993,0.255383461245784,0.244764103832802,0.375442304173286
"92","EAEC","01CommunityDetected","99MixedAges",0.134466393590347,0.205031280941683,0.19543806979132,0.317987337424359
"93","EAEC","02Outpatient","0-11mo",0.259504469821173,0.3509129396061,0.338554235127452,0.487654053869605
"94","EAEC","02Outpatient","12-23mo",0.218390630659073,0.301033943363374,0.28967436436023,0.431059339690426
"95","EAEC","02Outpatient","24-59mo",0.159037231035056,0.225865205872056,0.216451555293823,0.339146475144316
"96","EAEC","02Outpatient","99MixedAges",0.11710389616566,0.179926631404132,0.171535281347454,0.284713880265773
"97","EAEC","03Inpatient","0-11mo",0.304964948354644,0.397503549350287,0.386073807789426,0.532922191020301
"98","EAEC","03Inpatient","12-23mo",0.25916951150321,0.344517127120755,0.333795410002686,0.475954317044046
"99","EAEC","03Inpatient","24-59mo",0.191447991341346,0.262569344784177,0.253398431214884,0.380877175414029
"100","EAEC","03Inpatient","99MixedAges",0.142416125911534,0.211202230789912,0.202799607747237,0.32302065672133
"101","EAEC","04Unspecified","0-11mo",0.345670301978945,0.448376693592192,0.434099786563828,0.585014746089443
"102","EAEC","04Unspecified","12-23mo",0.29636874625523,0.39303269066256,0.379336419250938,0.528782521651647
"103","EAEC","04Unspecified","24-59mo",0.221837662160319,0.304912981996239,0.292791294409052,0.431848755867068
"104","EAEC","04Unspecified","99MixedAges",0.166626626122507,0.2480484815999,0.236821560052241,0.370887808558071
"105","EPAP","00Asymptomatic","0-11mo",0.10083661402337,0.148713885034531,0.153753078807064,0.13663179543917
"106","EPAP","00Asymptomatic","12-23mo",0.130016274257334,0.188826518559425,0.194900065939892,0.174088817413683
"107","EPAP","00Asymptomatic","24-59mo",0.130261877270581,0.189374583112508,0.195484691036651,0.174623314624163
"108","EPAP","00Asymptomatic","99MixedAges",0.0930718772385649,0.148543659757639,0.153558922849918,0.138536767617525
"109","EPAP","01CommunityDetected","0-11mo",0.0835331563551839,0.125051160139187,0.129547310742006,0.114515804873875
"110","EPAP","01CommunityDetected","12-23mo",0.108308759736211,0.15998070285221,0.165483161800608,0.146941721082493
"111","EPAP","01CommunityDetected","99MixedAges",0.0769867578559048,0.124904046293973,0.129379048107501,0.116153911585766
"112","EPAP","02Outpatient","0-11mo",0.0694004121224839,0.103997469551334,0.107825719364189,0.0955936618186819
"113","EPAP","02Outpatient","12-23mo",0.0903977588192339,0.133946542524722,0.138696183872453,0.123408372097657
"114","EPAP","02Outpatient","24-59mo",0.0905763135627327,0.134361703459537,0.139141355536486,0.123810593330122
"115","EPAP","02Outpatient","99MixedAges",0.0638843752751346,0.103872183455257,0.107682179642914,0.0969907422721376
"116","EPAP","03Inpatient","0-11mo",0.0923597285667556,0.133504656201646,0.137534226124978,0.121078857315631
"117","EPAP","03Inpatient","12-23mo",0.119412152439962,0.170335756897786,0.175239580565602,0.155037766823735
"118","EPAP","03Inpatient","24-59mo",0.119640478803342,0.170841455690256,0.175778107596133,0.155524786807314
"119","EPAP","03Inpatient","99MixedAges",0.0851858980253884,0.133349113103646,0.13735722666368,0.122797826646797
"120","EPAP","04Unspecified","0-11mo",0.105005418436074,0.1556810899367,0.160645989055753,0.144797607507469
"121","EPAP","04Unspecified","12-23mo",0.135210026422451,0.197237575432129,0.203194711380244,0.184016117584668
"122","EPAP","04Unspecified","24-59mo",0.135463912853795,0.19780409981305,0.203797919063519,0.184574282633993
"123","EPAP","04Unspecified","99MixedAges",0.0969542843145945,0.155504346445909,0.160444779166774,0.146797072655912
"124","EPTP","00Asymptomatic","0-11mo",0.102098566627248,0.119018493066795,0.117924178818638,0.161939507094149
"125","EPTP","00Asymptomatic","12-23mo",0.0965592928173574,0.112617179744071,0.11157804182438,0.153473438318688
"126","EPTP","00Asymptomatic","24-59mo",0.0725432715249111,0.085015856033918,0.0842066589857823,0.117149109656307
"127","EPTP","00Asymptomatic","99MixedAges",0.0550417873200319,0.0680017355090118,0.067585022093843,0.100605573325146
"128","EPTP","01CommunityDetected","0-11mo",0.124537572542445,0.145109389790992,0.143784160758017,0.196167931927094
"129","EPTP","01CommunityDetected","12-23mo",0.117940797649339,0.137523854570667,0.13626134018303,0.186310239717581
"130","EPTP","01CommunityDetected","99MixedAges",0.067921069976195,0.0839749151155139,0.0834503321304323,0.123784937958776
"131","EPTP","02Outpatient","0-11mo",0.103848002372781,0.120953859861286,0.119800166722757,0.165451767721538
"132","EPTP","02Outpatient","12-23mo",0.0982241973203699,0.114461978626672,0.113366047876168,0.156836443454898
"133","EPTP","02Outpatient","24-59mo",0.0738279235157488,0.086452563016918,0.0855983068237913,0.119828824702009
"134","EPTP","02Outpatient","99MixedAges",0.0560352349672715,0.0691726530114724,0.0687225849999362,0.102950993683025
"135","EPTP","03Inpatient","0-11mo",0.135696544541964,0.154910554296466,0.153744712921523,0.205529067980367
"136","EPTP","03Inpatient","12-23mo",0.12859550192513,0.146900707472273,0.145789489171047,0.195315266694153
"137","EPTP","03Inpatient","24-59mo",0.0974711588154046,0.11195695000822,0.111074910318152,0.150852515402031
