"","CONDITION","SYNDROME","AGERANGE","PAF"
"1","Adenovirus","01CommunityDetected","0-11mo",0.0817092053332452
"2","Adenovirus","02Outpatient","0-11mo",0.0173332209191587
"3","Adenovirus","03Inpatient","0-11mo",0.111096997270504
"4","Adenovirus","01CommunityDetected","12-23mo",0.102803416232151
"5","Adenovirus","02Outpatient","12-23mo",0.0666391449931178
"6","Adenovirus","03Inpatient","12-23mo",0.068686686964161
"7","Adenovirus","02Outpatient","24-59mo",0.0427409796863412
"8","Adenovirus","03Inpatient","24-59mo",0.0189524084061701
"9","Astrovirus","01CommunityDetected","0-11mo",0.0722572405451043
"10","Astrovirus","02Outpatient","0-11mo",0.00171072474823713
"11","Astrovirus","03Inpatient","0-11mo",0.0182672753165721
"12","Astrovirus","01CommunityDetected","12-23mo",0.12257141056582
"13","Astrovirus","02Outpatient","12-23mo",0.0173316795418467
"14","Astrovirus","03Inpatient","12-23mo",0.0257578889385936
"15","Astrovirus","02Outpatient","24-59mo",0.0108285788112196
"16","Astrovirus","03Inpatient","24-59mo",0.0204249720423303
"17","Campylobacter","01CommunityDetected","0-11mo",0.0923509810809307
"18","Campylobacter","02Outpatient","0-11mo",0
"19","Campylobacter","03Inpatient","0-11mo",0.00369882473702004
"20","Campylobacter","01CommunityDetected","12-23mo",0.0239075742127932
"21","Campylobacter","02Outpatient","12-23mo",0.00145073495118686
"22","Campylobacter","03Inpatient","12-23mo",0
"23","Campylobacter","02Outpatient","24-59mo",0
"24","Campylobacter","03Inpatient","24-59mo",0
"25","Cryptosporidium","01CommunityDetected","0-11mo",0.0159050748772373
"26","Cryptosporidium","02Outpatient","0-11mo",0.029085514254371
"27","Cryptosporidium","03Inpatient","0-11mo",0.127985699794628
"28","Cryptosporidium","01CommunityDetected","12-23mo",0.0299407472058032
"29","Cryptosporidium","02Outpatient","12-23mo",0.0157092980397675
"30","Cryptosporidium","03Inpatient","12-23mo",0.105782099560496
"31","Cryptosporidium","02Outpatient","24-59mo",0
"32","Cryptosporidium","03Inpatient","24-59mo",0.0466279051069313
"33","Cyclospora","01CommunityDetected","0-11mo",0
"34","Cyclospora","02Outpatient","0-11mo",0.0040857068844466
"35","Cyclospora","03Inpatient","0-11mo",0.0110255715525445
"36","Cyclospora","01CommunityDetected","12-23mo",0.00481426062624962
"37","Cyclospora","02Outpatient","12-23mo",0.0049945768043026
"38","Cyclospora","03Inpatient","12-23mo",0.0126635472935987
"39","Cyclospora","02Outpatient","24-59mo",0.00403840420636982
"40","Cyclospora","03Inpatient","24-59mo",0.0118886924361615
"41","EAEC","01CommunityDetected","0-11mo",0
"42","EAEC","02Outpatient","0-11mo",0
"43","EAEC","03Inpatient","0-11mo",0
"44","EAEC","01CommunityDetected","12-23mo",0.000810478642762947
"45","EAEC","02Outpatient","12-23mo",0
"46","EAEC","03Inpatient","12-23mo",0.0205496268875831
"47","EAEC","02Outpatient","24-59mo",0
"48","EAEC","03Inpatient","24-59mo",0
"49","EPAP","01CommunityDetected","0-11mo",0
"50","EPAP","02Outpatient","0-11mo",0
"51","EPAP","03Inpatient","0-11mo",0
"52","EPAP","01CommunityDetected","12-23mo",0
"53","EPAP","02Outpatient","12-23mo",0
"54","EPAP","03Inpatient","12-23mo",0
"55","EPAP","02Outpatient","24-59mo",0
"56","EPAP","03Inpatient","24-59mo",0
"57","EPTP","01CommunityDetected","0-11mo",0.0309167868314825
"58","EPTP","02Outpatient","0-11mo",0.0194116612601877
"59","EPTP","03Inpatient","0-11mo",0.0701455846620739
"60","EPTP","01CommunityDetected","12-23mo",0.0248724699377794
"61","EPTP","02Outpatient","12-23mo",0.0110362668448575
"62","EPTP","03Inpatient","12-23mo",0.00942628809717791
"63","EPTP","02Outpatient","24-59mo",0
"64","EPTP","03Inpatient","24-59mo",0.00745564394764502
"65","ETLT","01CommunityDetected","0-11mo",0.035949570068978
"66","ETLT","02Outpatient","0-11mo",0
"67","ETLT","03Inpatient","0-11mo",0.00204792302730338
"68","ETLT","01CommunityDetected","12-23mo",0.0602318175884002
"69","ETLT","02Outpatient","12-23mo",0.00191819446655945
"70","ETLT","03Inpatient","12-23mo",0
"71","ETLT","02Outpatient","24-59mo",0
"72","ETLT","03Inpatient","24-59mo",0.0118683332647133
"73","ETST","01CommunityDetected","0-11mo",0.0494093728847095
"74","ETST","02Outpatient","0-11mo",0.0323134142338933
"75","ETST","03Inpatient","0-11mo",0.082303501198138
"76","ETST","01CommunityDetected","12-23mo",0.0844668280410938
"77","ETST","02Outpatient","12-23mo",0.0477573707259512
"78","ETST","03Inpatient","12-23mo",0.0608044298981254
"79","ETST","02Outpatient","24-59mo",0.0442885503451693
"80","ETST","03Inpatient","24-59mo",0.0727442611195826
"81","Entamoeba","01CommunityDetected","0-11mo",0.00382908929093041
"82","Entamoeba","02Outpatient","0-11mo",0.00404366209106846
"83","Entamoeba","03Inpatient","0-11mo",0.0110624403597405
"84","Entamoeba","01CommunityDetected","12-23mo",0.00275985037619288
"85","Entamoeba","02Outpatient","12-23mo",0.00740083726511352
"86","Entamoeba","03Inpatient","12-23mo",0.0147744554073448
"87","Entamoeba","02Outpatient","24-59mo",0.019344875618143
"88","Entamoeba","03Inpatient","24-59mo",0.0185480960304681
"89","Giardia","01CommunityDetected","0-11mo",0.00754961189952277
"90","Giardia","02Outpatient","0-11mo",0
"91","Giardia","03Inpatient","0-11mo",0
"92","Giardia","01CommunityDetected","12-23mo",0
"93","Giardia","02Outpatient","12-23mo",0
"94","Giardia","03Inpatient","12-23mo",0
"95","Giardia","02Outpatient","24-59mo",0
"96","Giardia","03Inpatient","24-59mo",0
"97","Norovirus","01CommunityDetected","0-11mo",0.0830065574826386
"98","Norovirus","02Outpatient","0-11mo",0.00978872120602668
"99","Norovirus","03Inpatient","0-11mo",0.0126738234556148
"100","Norovirus","01CommunityDetected","12-23mo",0.0512028018263317
"101","Norovirus","02Outpatient","12-23mo",0.0238601802854394
"102","Norovirus","03Inpatient","12-23mo",0.00422848992102821
"103","Norovirus","02Outpatient","24-59mo",0.0253796803536539
"104","Norovirus","03Inpatient","24-59mo",0.00760216863228023
"105","Rotavirus","01CommunityDetected","0-11mo",0.0855148421085019
"106","Rotavirus","02Outpatient","0-11mo",0.222946159864202
"107","Rotavirus","03Inpatient","0-11mo",0.290943549118529
"108","Rotavirus","01CommunityDetected","12-23mo",0.0781197171913984
"109","Rotavirus","02Outpatient","12-23mo",0.257548118832793
"110","Rotavirus","03Inpatient","12-23mo",0.291520616454269
"111","Rotavirus","02Outpatient","24-59mo",0.198182900549174
"112","Rotavirus","03Inpatient","24-59mo",0.182496924480293
"113","STEC","01CommunityDetected","0-11mo",0
"114","STEC","02Outpatient","0-11mo",0
"115","STEC","03Inpatient","0-11mo",0
"116","STEC","01CommunityDetected","12-23mo",0
"117","STEC","02Outpatient","12-23mo",0
"118","STEC","03Inpatient","12-23mo",0
"119","STEC","02Outpatient","24-59mo",0
"120","STEC","03Inpatient","24-59mo",0
"121","Salmonella","01CommunityDetected","0-11mo",0
"122","Salmonella","02Outpatient","0-11mo",0.0176568634933103
"123","Salmonella","03Inpatient","0-11mo",0.0283794304356467
"124","Salmonella","01CommunityDetected","12-23mo",0.00048725471432479
"125","Salmonella","02Outpatient","12-23mo",0.0159697933863719
"126","Salmonella","03Inpatient","12-23mo",0.0252553263122486
"127","Salmonella","02Outpatient","24-59mo",0.0224348655695445
"128","Salmonella","03Inpatient","24-59mo",0.0648499166696062
"129","Sapovirus","01CommunityDetected","0-11mo",0.0848189687070138
"130","Sapovirus","02Outpatient","0-11mo",0.00351868391076432
"131","Sapovirus","03Inpatient","0-11mo",0
"132","Sapovirus","01CommunityDetected","12-23mo",0.158452160923884
"133","Sapovirus","02Outpatient","12-23mo",0.0150488147746297
"134","Sapovirus","03Inpatient","12-23mo",0.0264131806031953
"135","Sapovirus","02Outpatient","24-59mo",0.0190081188059426
"136","Sapovirus","03Inpatient","24-59mo",0.0313224296546229
"137","Shigella","01CommunityDetected","0-11mo",0.0504474581994238
"138","Shigella","02Outpatient","0-11mo",0.0428680434773811
"139","Shigella","03Inpatient","0-11mo",0.0685437509456407
"140","Shigella","01CommunityDetected","12-23mo",0.187953815578632
"141","Shigella","02Outpatient","12-23mo",0.106115207231372
"142","Shigella","03Inpatient","12-23mo",0.146484891354718
"143","Shigella","02Outpatient","24-59mo",0.181729157837553
"144","Shigella","03Inpatient","24-59mo",0.261734755648961
