"","CONDITION","AGERANGE","SYNDROME","k"
"1","Adenovirus","0-11mo","00Asymptomatic",28
"2","Adenovirus","0-11mo","01CommunityDetected",9
"3","Adenovirus","0-11mo","02Outpatient",24
"4","Adenovirus","0-11mo","03Inpatient",48
"5","Adenovirus","0-11mo","04Unspecified",3
"6","Adenovirus","12-23mo","00Asymptomatic",26
"7","Adenovirus","12-23mo","01CommunityDetected",9
"8","Adenovirus","12-23mo","02Outpatient",20
"9","Adenovirus","12-23mo","03Inpatient",46
"10","Adenovirus","12-23mo","04Unspecified",3
"11","Adenovirus","24-59mo","00Asymptomatic",26
"12","Adenovirus","24-59mo","01CommunityDetected",1
"13","Adenovirus","24-59mo","02Outpatient",22
"14","Adenovirus","24-59mo","03Inpatient",46
"15","Adenovirus","24-59mo","04Unspecified",3
"16","Adenovirus","99MixedAges","00Asymptomatic",4
"17","Adenovirus","99MixedAges","01CommunityDetected",1
"18","Adenovirus","99MixedAges","02Outpatient",21
"19","Adenovirus","99MixedAges","03Inpatient",13
"20","Adenovirus","99MixedAges","04Unspecified",5
"21","Astrovirus","0-11mo","00Asymptomatic",25
"22","Astrovirus","0-11mo","01CommunityDetected",8
"23","Astrovirus","0-11mo","02Outpatient",23
"24","Astrovirus","0-11mo","03Inpatient",48
"25","Astrovirus","0-11mo","04Unspecified",1
"26","Astrovirus","12-23mo","00Asymptomatic",24
"27","Astrovirus","12-23mo","01CommunityDetected",8
"28","Astrovirus","12-23mo","02Outpatient",19
"29","Astrovirus","12-23mo","03Inpatient",45
"30","Astrovirus","12-23mo","04Unspecified",1
"31","Astrovirus","24-59mo","00Asymptomatic",24
"32","Astrovirus","24-59mo","01CommunityDetected",0
"33","Astrovirus","24-59mo","02Outpatient",21
"34","Astrovirus","24-59mo","03Inpatient",46
"35","Astrovirus","24-59mo","04Unspecified",1
"36","Astrovirus","99MixedAges","00Asymptomatic",4
"37","Astrovirus","99MixedAges","01CommunityDetected",1
"38","Astrovirus","99MixedAges","02Outpatient",24
"39","Astrovirus","99MixedAges","03Inpatient",13
"40","Astrovirus","99MixedAges","04Unspecified",4
"41","Campylobacter","0-11mo","00Asymptomatic",30
"42","Campylobacter","0-11mo","01CommunityDetected",10
"43","Campylobacter","0-11mo","02Outpatient",21
"44","Campylobacter","0-11mo","03Inpatient",47
"45","Campylobacter","0-11mo","04Unspecified",5
"46","Campylobacter","12-23mo","00Asymptomatic",27
"47","Campylobacter","12-23mo","01CommunityDetected",8
"48","Campylobacter","12-23mo","02Outpatient",17
"49","Campylobacter","12-23mo","03Inpatient",46
"50","Campylobacter","12-23mo","04Unspecified",3
"51","Campylobacter","24-59mo","00Asymptomatic",26
"52","Campylobacter","24-59mo","01CommunityDetected",0
"53","Campylobacter","24-59mo","02Outpatient",18
"54","Campylobacter","24-59mo","03Inpatient",46
"55","Campylobacter","24-59mo","04Unspecified",3
"56","Campylobacter","99MixedAges","00Asymptomatic",17
"57","Campylobacter","99MixedAges","01CommunityDetected",5
"58","Campylobacter","99MixedAges","02Outpatient",29
"59","Campylobacter","99MixedAges","03Inpatient",14
"60","Campylobacter","99MixedAges","04Unspecified",4
"61","Cryptosporidium","0-11mo","00Asymptomatic",28
"62","Cryptosporidium","0-11mo","01CommunityDetected",10
"63","Cryptosporidium","0-11mo","02Outpatient",20
"64","Cryptosporidium","0-11mo","03Inpatient",45
"65","Cryptosporidium","0-11mo","04Unspecified",5
"66","Cryptosporidium","12-23mo","00Asymptomatic",26
"67","Cryptosporidium","12-23mo","01CommunityDetected",9
"68","Cryptosporidium","12-23mo","02Outpatient",16
"69","Cryptosporidium","12-23mo","03Inpatient",44
"70","Cryptosporidium","12-23mo","04Unspecified",5
"71","Cryptosporidium","24-59mo","00Asymptomatic",26
"72","Cryptosporidium","24-59mo","01CommunityDetected",1
"73","Cryptosporidium","24-59mo","02Outpatient",16
"74","Cryptosporidium","24-59mo","03Inpatient",45
"75","Cryptosporidium","24-59mo","04Unspecified",5
"76","Cryptosporidium","99MixedAges","00Asymptomatic",10
"77","Cryptosporidium","99MixedAges","01CommunityDetected",4
"78","Cryptosporidium","99MixedAges","02Outpatient",19
"79","Cryptosporidium","99MixedAges","03Inpatient",5
"80","Cryptosporidium","99MixedAges","04Unspecified",4
"81","Cyclospora","0-11mo","00Asymptomatic",16
"82","Cyclospora","0-11mo","01CommunityDetected",8
"83","Cyclospora","0-11mo","02Outpatient",7
"84","Cyclospora","0-11mo","03Inpatient",36
"85","Cyclospora","0-11mo","04Unspecified",1
"86","Cyclospora","12-23mo","00Asymptomatic",16
"87","Cyclospora","12-23mo","01CommunityDetected",8
"88","Cyclospora","12-23mo","02Outpatient",7
"89","Cyclospora","12-23mo","03Inpatient",36
"90","Cyclospora","12-23mo","04Unspecified",1
"91","Cyclospora","24-59mo","00Asymptomatic",16
"92","Cyclospora","24-59mo","01CommunityDetected",0
"93","Cyclospora","24-59mo","02Outpatient",7
"94","Cyclospora","24-59mo","03Inpatient",36
"95","Cyclospora","24-59mo","04Unspecified",1
"96","Cyclospora","99MixedAges","00Asymptomatic",2
"97","Cyclospora","99MixedAges","01CommunityDetected",1
"98","Cyclospora","99MixedAges","02Outpatient",2
"99","Cyclospora","99MixedAges","03Inpatient",1
"100","Cyclospora","99MixedAges","04Unspecified",1
"101","EAEC","0-11mo","00Asymptomatic",27
"102","EAEC","0-11mo","01CommunityDetected",11
"103","EAEC","0-11mo","02Outpatient",18
"104","EAEC","0-11mo","03Inpatient",45
"105","EAEC","0-11mo","04Unspecified",3
"106","EAEC","12-23mo","00Asymptomatic",25
"107","EAEC","12-23mo","01CommunityDetected",10
"108","EAEC","12-23mo","02Outpatient",15
"109","EAEC","12-23mo","03Inpatient",44
"110","EAEC","12-23mo","04Unspecified",3
"111","EAEC","24-59mo","00Asymptomatic",25
"112","EAEC","24-59mo","01CommunityDetected",2
"113","EAEC","24-59mo","02Outpatient",16
"114","EAEC","24-59mo","03Inpatient",44
"115","EAEC","24-59mo","04Unspecified",3
"116","EAEC","99MixedAges","00Asymptomatic",15
"117","EAEC","99MixedAges","01CommunityDetected",3
"118","EAEC","99MixedAges","02Outpatient",28
"119","EAEC","99MixedAges","03Inpatient",14
"120","EAEC","99MixedAges","04Unspecified",4
"121","Entamoeba","0-11mo","00Asymptomatic",26
"122","Entamoeba","0-11mo","01CommunityDetected",10
"123","Entamoeba","0-11mo","02Outpatient",19
"124","Entamoeba","0-11mo","03Inpatient",46
"125","Entamoeba","0-11mo","04Unspecified",3
"126","Entamoeba","12-23mo","00Asymptomatic",24
"127","Entamoeba","12-23mo","01CommunityDetected",9
"128","Entamoeba","12-23mo","02Outpatient",16
"129","Entamoeba","12-23mo","03Inpatient",45
"130","Entamoeba","12-23mo","04Unspecified",3
"131","Entamoeba","24-59mo","00Asymptomatic",24
"132","Entamoeba","24-59mo","01CommunityDetected",1
"133","Entamoeba","24-59mo","02Outpatient",16
"134","Entamoeba","24-59mo","03Inpatient",47
"135","Entamoeba","24-59mo","04Unspecified",3
"136","Entamoeba","99MixedAges","00Asymptomatic",7
"137","Entamoeba","99MixedAges","01CommunityDetected",2
"138","Entamoeba","99MixedAges","02Outpatient",13
"139","Entamoeba","99MixedAges","03Inpatient",4
"140","Entamoeba","99MixedAges","04Unspecified",4
"141","EPAP","0-11mo","00Asymptomatic",27
"142","EPAP","0-11mo","01CommunityDetected",10
"143","EPAP","0-11mo","02Outpatient",19
"144","EPAP","0-11mo","03Inpatient",45
"145","EPAP","0-11mo","04Unspecified",3
"146","EPAP","12-23mo","00Asymptomatic",25
"147","EPAP","12-23mo","01CommunityDetected",9
"148","EPAP","12-23mo","02Outpatient",16
"149","EPAP","12-23mo","03Inpatient",44
"150","EPAP","12-23mo","04Unspecified",3
"151","EPAP","24-59mo","00Asymptomatic",25
"152","EPAP","24-59mo","01CommunityDetected",1
"153","EPAP","24-59mo","02Outpatient",17
"154","EPAP","24-59mo","03Inpatient",44
"155","EPAP","24-59mo","04Unspecified",3
"156","EPAP","99MixedAges","00Asymptomatic",16
"157","EPAP","99MixedAges","01CommunityDetected",4
"158","EPAP","99MixedAges","02Outpatient",30
"159","EPAP","99MixedAges","03Inpatient",19
"160","EPAP","99MixedAges","04Unspecified",7
"161","EPTP","0-11mo","00Asymptomatic",27
"162","EPTP","0-11mo","01CommunityDetected",10
"163","EPTP","0-11mo","02Outpatient",20
"164","EPTP","0-11mo","03Inpatient",45
"165","EPTP","0-11mo","04Unspecified",2
"166","EPTP","12-23mo","00Asymptomatic",25
"167","EPTP","12-23mo","01CommunityDetected",9
"168","EPTP","12-23mo","02Outpatient",17
"169","EPTP","12-23mo","03Inpatient",44
"170","EPTP","12-23mo","04Unspecified",2
"171","EPTP","24-59mo","00Asymptomatic",25
"172","EPTP","24-59mo","01CommunityDetected",1
"173","EPTP","24-59mo","02Outpatient",18
"174","EPTP","24-59mo","03Inpatient",44
"175","EPTP","24-59mo","04Unspecified",2
"176","EPTP","99MixedAges","00Asymptomatic",16
"177","EPTP","99MixedAges","01CommunityDetected",4
"178","EPTP","99MixedAges","02Outpatient",31
"179","EPTP","99MixedAges","03Inpatient",19
"180","EPTP","99MixedAges","04Unspecified",6
"181","ETLT","0-11mo","00Asymptomatic",26
"182","ETLT","0-11mo","01CommunityDetected",11
