"","CONDITION","AGERANGE","SYNDROME","RawPrev","prev_pop","logOR","se","pval","ci.lb","ci.ub","studies","aOR","lower","upper","PAF"
"1","Adenovirus","0-11mo","01CommunityDetected",0.207489372110901,0.181208155878891,0.599499306136117,0.201325144295674,0.00290356927420108,0.204909274134265,0.994089338137968,87,1.82120670504721,1.22741370174079,2.70226237315492,0.0817092053332452
"2","Adenovirus","0-11mo","02Outpatient",0.185922292514386,0.139362429596882,0.132817515444636,0.178780672964493,0.457537641835346,-0.217586164697603,0.483221195586876,87,1.14204157436549,0.8044582860285,1.62128848721064,0.0173332209191587
"3","Adenovirus","0-11mo","03Inpatient",0.270510852619676,0.196437176674392,0.833697288627251,0.213279255390499,9.26993268510157e-05,0.415677629412352,1.25171694784215,87,2.30181349566559,1.5153972706113,3.49634084182489,0.111096997270504
"4","Adenovirus","12-23mo","01CommunityDetected",0.22131286975135,0.20739074623537,0.684582260623417,0.229029975434438,0.00279845482495924,0.235691757391824,1.13347276385501,80,1.98294330899343,1.26578408144076,3.1064256726994,0.102803416232151
"5","Adenovirus","12-23mo","02Outpatient",0.199963495895036,0.172462792968124,0.488407509987862,0.203647594757983,0.0164714828203836,0.0892655587240077,0.887549461251717,80,1.62971884137709,1.09337097197688,2.42916957740089,0.0666391449931178
"6","Adenovirus","12-23mo","03Inpatient",0.263012457263436,0.163694896886773,0.544041002217747,0.244345330525023,0.0259790321854698,0.0651329545981676,1.02294904983733,80,1.72295527955015,1.06730091751592,2.78138512448663,0.068686686964161
"7","Adenovirus","24-59mo","02Outpatient",0.181946628638046,0.143097561645324,0.35479698378552,0.156509111459095,0.0233938059058893,0.0480447620733285,0.661549205497711,73,1.42589114587233,1.04921761942938,1.9377920483101,0.0427409796863412
"8","Adenovirus","24-59mo","03Inpatient",0.132275623411535,0.0962626563668689,0.219253938560614,0.202941065460147,0.279971966792239,-0.17850324072546,0.617011117846687,73,1.24514742748988,0.836521345936976,1.85338022002068,0.0189524084061701
"9","Astrovirus","0-11mo","01CommunityDetected",0.161179539796634,0.155074433674303,0.627269532581836,0.0750253209706964,6.23096576777467e-17,0.480222605550714,0.774316459612959,103,1.87249081760571,1.61643418936901,2.16910894676533,0.0722572405451043
"10","Astrovirus","0-11mo","02Outpatient",0.0491459760224281,0.0431272919246391,0.040475045891595,0.103631617984519,0.696117637780944,-0.162639193017676,0.243589284800866,103,1.04130532453235,0.849897782154746,1.27582022411019,0.00171072474823713
