"","CONDITION","SYNDROME","AGERANGE","prev_pop3"
"1","Adenovirus","00Asymptomatic","0-11mo",0.0734955702311028
"2","Adenovirus","00Asymptomatic","12-23mo",0.0693918083908048
"3","Adenovirus","00Asymptomatic","24-59mo",0.0503440628267346
"4","Adenovirus","00Asymptomatic","99MixedAges",0.0490897199079506
"5","Adenovirus","01CommunityDetected","0-11mo",0.136401250325201
"6","Adenovirus","01CommunityDetected","12-23mo",0.129275125646203
"7","Adenovirus","02Outpatient","0-11mo",0.117819636944122
"8","Adenovirus","02Outpatient","12-23mo",0.111538905718236
"9","Adenovirus","02Outpatient","24-59mo",0.0819406424431015
"10","Adenovirus","02Outpatient","99MixedAges",0.0799653471489781
"11","Adenovirus","03Inpatient","0-11mo",0.180191394102411
"12","Adenovirus","03Inpatient","12-23mo",0.171231113763034
"13","Adenovirus","03Inpatient","24-59mo",0.128076194918637
"14","Adenovirus","03Inpatient","99MixedAges",0.125140335272505
"15","Adenovirus","04Unspecified","0-11mo",0.187736577709055
"16","Adenovirus","04Unspecified","12-23mo",0.178482786887277
"17","Adenovirus","04Unspecified","24-59mo",0.13379529668503
"18","Adenovirus","04Unspecified","99MixedAges",0.130747997989771
"19","Astrovirus","00Asymptomatic","0-11mo",0.0351525628040993
"20","Astrovirus","00Asymptomatic","12-23mo",0.036843323513302
"21","Astrovirus","00Asymptomatic","24-59mo",0.029604406848662
"22","Astrovirus","00Asymptomatic","99MixedAges",0.0215118893641729
"23","Astrovirus","01CommunityDetected","0-11mo",0.0773667039107344
"24","Astrovirus","01CommunityDetected","12-23mo",0.0809175901891953
"25","Astrovirus","02Outpatient","0-11mo",0.0439808513347317
"26","Astrovirus","02Outpatient","12-23mo",0.0460759556047666
"27","Astrovirus","02Outpatient","24-59mo",0.0370928871795219
"28","Astrovirus","02Outpatient","99MixedAges",0.0270103322563219
"29","Astrovirus","03Inpatient","0-11mo",0.0586416381482381
"30","Astrovirus","03Inpatient","12-23mo",0.0613902875777123
"31","Astrovirus","03Inpatient","24-59mo",0.0495766752345596
"32","Astrovirus","03Inpatient","99MixedAges",0.0362284592429444
"33","Astrovirus","04Unspecified","99MixedAges",0.0436498738033606
"34","Campylobacter","00Asymptomatic","0-11mo",0.0911946017078765
"35","Campylobacter","00Asymptomatic","12-23mo",0.113932565934796
"36","Campylobacter","00Asymptomatic","24-59mo",0.0873446858700428
"37","Campylobacter","00Asymptomatic","99MixedAges",0.0754442879695884
