"","SITE_ID","EST_ID","CONDITION_ID","SYNDROME","SEX","SUBJECTS","SAMPLES","CASES","PREV","SE","COVIDENCEID","CONDITION","SOURCE_ID","SITE_WHO_REGION","SITE_INCOME","SITE_LEVEL","SITE_ISO","SITE_COUNTRY","SITE_RV_VAX","AGERANGE","DIAGMETHOD","MIDPOINT","URBAN","yi","vi"
"1","PMID19193841-01","PMID19193841-01-02","PMID19193841-01-ADEN-02","03Inpatient","Both",60,60,2,0.0333333333333333,0.0231740595717936,41694,"Adenovirus","PMID19193841","Middle East and North Africa","Eastern Mediterranean","Subnational","EGY","Egypt","NO","99MixedAges","01Dx_Molc",182,"YES",-3.36729582998647,0.517241379310345
"2","PMID19193841-01","PMID19193841-01-01","PMID19193841-01-ADEN-01","03Inpatient","Both",98,98,5,0.0510204081632653,0.0222273333556515,41694,"Adenovirus","PMID19193841","Middle East and North Africa","Eastern Mediterranean","Subnational","EGY","Egypt","NO","0-11mo","01Dx_Molc",182,"YES",-2.92316158071916,0.210752688172043
"3","PMID19107961-01","PMID19107961-01-01","PMID19107961-01-ADEN-01","03Inpatient","Both",136,136,4,0.0294117647058824,0.0144880053844673,41699,"Adenovirus","PMID19107961","East Asia and Pacific","South-East Asia","Subnational","THA","Thailand","NO","99MixedAges","01Dx_Molc",212,"YES",-3.49650756146648,0.257575757575758
"4","PMID28750058-01","PMID28750058-01-01","PMID28750058-01-ADEN-01","03Inpatient","Both",1214,1214,103,0.084843492586491,0.00799737778030834,41723,"Adenovirus","PMID28750058","East Asia and Pacific","South-East Asia","Subnational","THA","Thailand","NO","99MixedAges","01Dx_Molc",1278,"YES",-2.37828680140999,0.0106088278730786
"5","PMID28750058-01","PMID28750058-01-02","PMID28750058-01-ADEN-02","03Inpatient","Both",370,370,67,0.181081081081081,0.0200196338192872,41723,"Adenovirus","PMID28750058","East Asia and Pacific","South-East Asia","Subnational","THA","Thailand","NO","99MixedAges","01Dx_Molc",1278,"YES",-1.5090401861184,0.0182257031673317
"6","PMID28750058-01","PMID28750058-01-03","PMID28750058-01-ADEN-03","03Inpatient","Both",157,157,17,0.10828025477707,0.024799275878385,41723,"Adenovirus","PMID28750058","East Asia and Pacific","South-East Asia","Subnational","THA","Thailand","NO","99MixedAges","01Dx_Molc",1278,"YES",-2.10842907855309,0.0659663865546219
"7","PMID28750058-01","PMID28750058-01-04","PMID28750058-01-ADEN-04","03Inpatient","Both",772,772,55,0.0712435233160622,0.00925795300884372,41723,"Adenovirus","PMID28750058","East Asia and Pacific","South-East Asia","Subnational","THA","Thailand","NO","99MixedAges","01Dx_Molc",1278,"YES",-2.56774265536715,0.0195765183212882
"8","PMID26613223-01","PMID26613223-01-01","PMID26613223-01-ADEN-01","02Outpatient","Both",240,240,21,0.0875,0.0182395803588423,41741,"Adenovirus","PMID26613223","Europe and Central Asia","Europe","National","TUR","Turkey","NO","99MixedAges","01Dx_Molc",183,"NO",-2.34454929209308,0.0521852576647097
"9","PMID23407102-01","PMID23407102-01-01","PMID23407102-01-ADEN-01","02Outpatient","Both",664,664,9,0.0135542168674699,0.00448734835844392,41753,"Adenovirus","PMID23407102","East Asia and Pacific","Western Pacific","National","CHN","China","NO","0-11mo","01Dx_Molc",182,"YES",-4.28741065829903,0.112637828668363
"10","PMID23407102-01","PMID23407102-01-02","PMID23407102-01-ADEN-02","02Outpatient","Both",90,90,1,0.0111111111111111,0.0110492102890195,41753,"Adenovirus","PMID23407102","East Asia and Pacific","Western Pacific","National","CHN","China","NO","12-23mo","01Dx_Molc",182,"YES",-4.48863636973214,1.01123595505618
"11","PMID23407102-01","PMID23407102-01-03","PMID23407102-01-ADEN-03","02Outpatient","Both",57,57,0,0,0,41753,"Adenovirus","PMID23407102","East Asia and Pacific","Western Pacific","National","CHN","China","NO","24-59mo","01Dx_Molc",182,"YES",-4.74493212836325,2.01739130434783
"12","PMID22372354-01","PMID22372354-01-01","PMID22372354-01-ADEN-01","03Inpatient","Both",160,160,3,0.01875,0.0107233499604834,41765,"Adenovirus","PMID22372354","East Asia and Pacific","South-East Asia","Subnational","THA","Thailand","NO","99MixedAges","01Dx_Molc",182,"YES",-3.9576335166802,0.339702760084926
"13","PMID36619987-01","PMID36619987-01-01","PMID36619987-01-ADEN-01","02Outpatient","Both",105,105,7,0.0666666666666667,0.0243432247780074,41776,"Adenovirus","PMID36619987","Sub-Saharan Africa","Africa","Subnational","CPV","Cape Verde","NO","99MixedAges","01Dx_Molc",213,"YES",-2.63905732961526,0.153061224489796
"14","PMID36660904-01","PMID36660904-01-01","PMID36660904-01-ADEN-01","02Outpatient","Both",56,56,0,0,0,41779,"Adenovirus","PMID36660904","Europe and Central Asia","Europe","National","ARM","Armenia","YES","0-11mo","01Dx_Molc",188,"YES",-4.72738781871234,2.01769911504425
"15","PMID36660904-01","PMID36660904-01-02","PMID36660904-01-ADEN-02","02Outpatient","Both",67,67,1,0.0122552113746529,0.0134414269236385,41779,"Adenovirus","PMID36660904","Europe and Central Asia","Europe","National","ARM","Armenia","YES","12-23mo","01Dx_Molc",188,"YES",-4.18965474202643,1.01515151515152
"16","PMID36660904-01","PMID36660904-01-03","PMID36660904-01-ADEN-03","02Outpatient","Both",77,77,5,0.0654390013063109,0.0281823234675645,41779,"Adenovirus","PMID36660904","Europe and Central Asia","Europe","National","ARM","Armenia","YES","24-59mo","01Dx_Molc",188,"YES",-2.66722820658196,0.213888888888889
"17","PMID36660904-02","PMID36660904-02-03","PMID36660904-02-ADEN-03","02Outpatient","Both",20,20,14,0.690510702133179,0.103369645537925,41779,"Adenovirus","PMID36660904","Sub-Saharan Africa","Africa","National","BEN","Benin","NO","24-59mo","01Dx_Molc",186,"YES",0.847297860387203,0.238095238095238
"18","PMID36660904-02","PMID36660904-02-02","PMID36660904-02-ADEN-02","02Outpatient","Both",44,44,14,0.324129061265425,0.0705609686255632,41779,"Adenovirus","PMID36660904","Sub-Saharan Africa","Africa","National","BEN","Benin","NO","12-23mo","01Dx_Molc",186,"YES",-0.762140052046897,0.104761904761905
"19","PMID36660904-02","PMID36660904-02-01","PMID36660904-02-ADEN-01","02Outpatient","Both",93,93,44,0.472433808029339,0.0517687273330141,41779,"Adenovirus","PMID36660904","Sub-Saharan Africa","Africa","National","BEN","Benin","NO","0-11mo","01Dx_Molc",186,"YES",-0.107630664192365,0.0431354359925789
"20","PMID36660904-03","PMID36660904-03-03","PMID36660904-03-ADEN-03","02Outpatient","Both",21,21,2,0.072263791447594,0.0565018903574253,41779,"Adenovirus","PMID36660904","Latin America and Caribbean","Americas","National","BOL","Bolivia","YES","24-59mo","01Dx_Molc",364,"YES",-2.2512917986065,0.552631578947368
"21","PMID36660904-03","PMID36660904-03-02","PMID36660904-03-ADEN-02","02Outpatient","Both",42,42,3,0.0734751508349464,0.0402600336635325,41779,"Adenovirus","PMID36660904","Latin America and Caribbean","Americas","National","BOL","Bolivia","YES","12-23mo","01Dx_Molc",364,"YES",-2.56494935746154,0.358974358974359
"22","PMID36660904-03","PMID36660904-03-01","PMID36660904-03-ADEN-01","02Outpatient","Both",52,52,6,0.117614837793204,0.0446743748017211,41779,"Adenovirus","PMID36660904","Latin America and Caribbean","Americas","National","BOL","Bolivia","YES","0-11mo","01Dx_Molc",364,"YES",-2.03688192726104,0.188405797101449
"23","PMID36660904-04","PMID36660904-04-03","PMID36660904-04-ADEN-03","02Outpatient","Both",100,100,6,0.0629674589633942,0.0242904421686983,41779,"Adenovirus","PMID36660904","East Asia and Pacific","Western Pacific","National","CHN","China","NO","24-59mo","01Dx_Molc",188,"YES",-2.75153531304195,0.177304964539007
"24","PMID36660904-04","PMID36660904-04-01","PMID36660904-04-ADEN-01","02Outpatient","Both",222,222,15,0.0660978126096296,0.0166750733453081,41779,"Adenovirus","PMID36660904","East Asia and Pacific","Western Pacific","National","CHN","China","NO","0-11mo","01Dx_Molc",188,"YES",-2.62466859216316,0.0714975845410628
"25","PMID36660904-04","PMID36660904-04-02","PMID36660904-04-ADEN-02","02Outpatient","Both",195,195,15,0.0773360154567621,0.0191291368805559,41779,"Adenovirus","PMID36660904","East Asia and Pacific","Western Pacific","National","CHN","China","NO","12-23mo","01Dx_Molc",188,"YES",-2.484906649788,0.0722222222222222
"26","PMID36660904-05","PMID36660904-05-01","PMID36660904-05-ADEN-01","02Outpatient","Both",80,80,4,0.0493409931659698,0.0242142673746713,41779,"Adenovirus","PMID36660904","Sub-Saharan Africa","Africa","National","CIV","Cote d'Ivoire","YES","0-11mo","01Dx_Molc",186,"YES",-2.94443897916644,0.263157894736842
